country,year,ev_sales_share,ev_stock,ev_stock_share,charging_points
Czech Republic,2024,6.8,,,
Finland,2019,6.7,29701.0,0.95,3490.0
Romania,2024,6.5,,,
Brazil,2024,6.4,214003.0,0.7,12600.0
Canada,2021,6.4,300250.0,1.2,15000.0
Netherlands,2017,6.4,118039.0,1.4,33410.0
Poland,2023,6.4,99210.0,0.49,5900.0
Iceland,2016,6.3,1563.0,0.75,51.0
Korea,2021,6.3,253000.0,1.1,101100.0
Netherlands,2018,6.2,143050.0,1.7,36820.0
Slovenia,2022,6.2,,,
Slovakia,2023,6.1,,,
New Zealand,2019,5.9,17402.0,0.56,133.0
Poland,2022,5.9,61130.0,0.31,4520.0
Norway,2013,5.8,15660.0,0.63,4596.0
Bulgaria,2023,5.8,,,
China,2020,5.7,4490000.0,1.9,810000.0
Poland,2024,5.7,119220.0,1.1,9200.0
Portugal,2019,5.6,30000.0,0.54,1960.0
Netherlands,2013,5.5,28200.0,0.36,5821.0
Switzerland,2019,5.5,50084.0,1.1,6320.0
New Zealand,2020,5.4,22905.0,0.74,470.0
Cyprus,2022,5.4,,,
Czech Republic,2023,5.4,,,
Estonia,2022,5.4,,,
Romania,2021,5.2,,,
Sweden,2017,5.1,43021.0,0.92,3590.0
Australia,2022,5.0,88100.0,0.59,3300.0
China,2019,5.0,3370000.0,1.5,510000.0
Uzbekistan,2024,5.0,32400.0,0.87,
Bulgaria,2024,5.0,,,
Croatia,2022,5.0,,,
Lithuania,2021,5.0,,,
Seychelles,2023,5.0,,,
New Zealand,2018,4.9,11400.0,0.36,289.0
Croatia,2024,4.9,,,
Slovakia,2024,4.8,,,
China,2018,4.7,2240000.0,1.1,270000.0
USA,2021,4.7,2232000.0,0.97,113000.0
Hungary,2020,4.7,,,
Finland,2018,4.6,15400.0,0.51,2220.0
Croatia,2023,4.6,,,
Spain,2020,4.5,88009.0,0.36,8700.0
Canada,2020,4.2,212130.0,0.83,13300.0
Denmark,2019,4.2,26000.0,0.96,4960.0
Italy,2020,4.2,99035.0,0.25,13500.0
Seychelles,2021,4.2,,,
Ireland,2019,4.1,,,
Bulgaria,2022,4.0,,,
Colombia,2023,3.9,15600.0,0.44,1040.0
Iceland,2015,3.9,714.0,0.36,31.0
Netherlands,2014,3.9,43802.2,0.55,12120.0
Korea,2018,3.9,61500.0,0.31,31100.0
Czech Republic,2022,3.9,,,
Latvia,2021,3.9,,,
Rest of the world,2024,3.8,750041.0,0.56,12400.0
Croatia,2021,3.8,,,
Slovenia,2021,3.8,,,
Slovakia,2022,3.7,,,
Costa Rica,2021,3.6,2550.0,0.24,600.0
Malaysia,2024,3.6,62003.0,0.5,2010.0
Poland,2021,3.6,37091.0,0.19,3800.0
Portugal,2018,3.6,16700.0,0.32,1780.0
Austria,2019,3.5,38041.0,0.75,3722.0
Japan,2023,3.5,547900.0,0.84,31600.0
Netherlands,2015,3.5,88426.0,1.1,18220.0
Luxembourg,2019,3.5,,,
Canada,2019,3.4,136096.0,0.6,8840.0
New Zealand,2017,3.4,5900.0,0.19,100.0
Sweden,2016,3.4,26507.0,0.55,2220.0
United Kingdom,2019,3.3,251170.0,0.76,15100.0
Seychelles,2020,3.3,,,
Belgium,2019,3.2,60041.0,1.0,6590.0
Estonia,2021,3.2,,,
Norway,2012,3.1,8340.0,0.35,3758.0
Switzerland,2018,3.1,35059.0,0.77,5140.0
Czech Republic,2021,3.1,,,
Romania,2020,3.1,,,
Slovenia,2020,3.1,,,
Brazil,2023,3.0,92003.0,0.3,4750.0
Germany,2019,3.0,240640.0,0.5,29200.0
Slovakia,2021,3.0,,,
Colombia,2022,2.9,10100.0,0.29,694.0
Russia,2024,2.9,42000.0,0.096,10600.0
Australia,2021,2.8,48044.0,0.32,2770.0
Canada,2018,2.8,87005.0,0.39,7940.0
Japan,2022,2.8,417600.0,0.63,29400.0
Japan,2024,2.8,628100.0,1.0,34000.0
France,2019,2.7,255380.0,0.66,30700.0
Greece,2020,2.7,3300.0,0.083,228.0
Rest of the world,2023,2.7,510041.0,0.38,9600.0
